title,indegree,pagerank,betweenness,closeness,canonisation_score,louvain_cluster,leiden_cluster
1913_Rosny-aine-J-H_La-Force-mysterieuse,0.0,6.968843616809902e-05,0.0,0.0,0.0,3,7
1963_Beauvoir-Simone-de_La-force-des-choses_1,0.9990478954181012,8.938775604707354e-05,1.942252935715312e-06,0.0003376302451565,0.3,3,7
1837_Nodier-Charles_Ines-de-Las-Sierras,7.989506615792838,0.0020436183616944,0.0005030435103502,0.0428478924056462,0.0,3,7
1863_Gautier-Theophile_Le-capitaine-Fracasse,5.995572085595487,0.0002989374851266,4.113006216808897e-05,0.0041125752966071,0.54,3,7
1846_Balzac-Honore-de_Une-fille-d’Eve,1.9998749197183288,0.0001450422960683,4.570006907565441e-06,0.0021794197584321,0.3,3,7
1901_Lesueur-Daniel_L-honneur-d-une-femme,0.9998809028016924,8.938989424030266e-05,4.684257080254577e-06,0.0003379117616768,0.0,3,7
1883_Montagne-Edouard_Le-Batard-de-Ravaillac,2.998928654201698,0.0001680634696187,5.826758807145937e-06,0.0017736832820281,0.0,3,7
1905_Dourliac-Arthur_Ma-petite,2.998557068942996,0.0001693602171826,2.547778850967733e-05,0.0020390099627266,0.0,3,7
1978_Perec-Georges_La-Vie-mode-d-emploi,0.0,6.968843616809902e-05,0.0,0.0,0.25,3,7
1856_Gautier-Theophile_Avatar,3.99785743046298,0.0002106052689359,1.1653517614291874e-05,0.0045161254036894,0.3,3,7
1894_Bloy-Leon_Histoires-desobligeantes,0.9998186239200384,0.0001175668283209,1.2567518995804963e-06,0.0015766161869575,0.0,3,7
1963_Bouvier-Nicolas_L-usage-du-monde,0.0,6.968843616809902e-05,0.0,0.0,0.12,3,7
1941_Bealu-Marcel_Memoires-de-l-ombre,2.9967613708441,0.0001545260581941,2.147903246555757e-05,0.0011681226266305,0.0,3,7
2001_Millet-Catherine_La-Vie-Sexuelle-De-Catherine-M.,0.0,6.968843616809902e-05,0.0,0.0,0.0,3,0
1921_Renard-Maurice_L-Homme-Truque,1.999324143874335,0.0001090929059529,2.8562543172284006e-06,0.0006756756030361,0.0,3,7
1994_Millet-Richard_Un-balcon-a-Beyrouth,0.9995012286882836,8.938970997341756e-05,2.6277539718501285e-06,0.0003377834500467,0.0,3,7
1905_Delly_L'etincelle,1.989478734978914,0.0001220050821948,1.2796019341183234e-05,0.0007258661056677,0.0,3,7
1844_Balzac-Honore-de_La-Vieille-Fille,8.995040720417961,0.0007465961903286,0.0001284171941025,0.0127534407743272,0.3,3,7
1895_Mael-Pierre_Les-Derniers-Hommes-rouges,1.9995612903172084,0.0001240672671841,9.939765023954834e-06,0.0010297021239133,0.0,3,7
2008_Millet-Catherine_Jour-de-souffrance,1.9961242826538883,0.000109107236087,7.083510706726434e-06,0.0006745927138868,0.0,3,7
1907_Vanderem-Fernand_La-victime,2.997956962986526,0.0003005088336076,8.50021284807172e-05,0.0034738337845176,0.0,3,7
1858_Souvestre-Emile_Scenes-de-la-chouannerie,7.996815320608894,0.0006894093909175,6.78646025773468e-05,0.0130207136016724,0.0,3,7
1878_Aimard-Gustave-Auriac-Jules-Berlioz-d_Jim-l-Indien,1.9972964694348088,0.0001330527988527,1.348152037731805e-05,0.0011626607549364,0.0,3,7
